,,,OECS Affected Exports to the USA (Top 100),,,
,,,,,,
,,,,,,
,HS,SITC1,DESCRIPTION,   Exports to USA (USD)   ,   Quantity  (KG) ,Affected
,85332100,7,Fixed electrical resistors (other than heating resistors or composition- or film-type carbon resistors) for a power handling capacity not exceeding 20W.,"  214,656 ","  1,384 ",affected
,62044900,8,"Women’s or girls’ dresses, not knitted or crocheted, of textile materials other than wool, fine animal hair, cotton, synthetic fibres or artificial fibres.","  209,639 ","  11,239 ",affected
,82079000,6,"Other interchangeable tools for hand tools, whether or not power-operated, or for machine-tools.","  190,459 ","  18,779 ",affected
,85369000,7,"Other electrical apparatus for switching or protecting electrical circuits, or for making connections to or in electrical circuits (for example, surge suppressors, junction boxes), for a voltage not exceeding 1,000 volts.","  169,588 ","  9,768 ",affected
,88033000,7,Other parts of aeroplanes or helicopters.,"  169,405 ","  1,227 ",affected
,84099990,7,"Parts suitable for use solely or principally with compression-ignition internal combustion piston engines (diesel or semi-diesel engines), other than those for road motor vehicles or for marine craft.","  166,474 ","  17,096 ",affected
,62044200,8,"Women’s or girls’ dresses, not knitted or crocheted, of cotton.","  164,776 ","  5,743 ",affected
,85444200,7,"Other electric conductors, for a voltage not exceeding 1000 V, fitted with connectors.","  158,732 ","  1,535 ",affected
,61034210,8,"Men’s or boys’ trousers and shorts, knitted or crocheted, of cotton.","  150,970 ","  2,292 ",affected
,64029910,8,"Sandals and slippers, with outer soles and uppers of rubber or plastics.","  150,540 ","  12,686 ",affected
,03023290,0,"Yellowfin tunas, other than for processing, fresh or chilled.","  141,289 ","  20,856 ",affected
,84133000,7,"Fuel, lubricating or cooling medium pumps for internal combustion piston engines.","  139,612 ","  1,543 ",affected
,62063020,8,"Women’s or girls’ shirts, not knitted or crocheted, of cotton.","  129,134 ","  1,573 ",affected
,22082010,1,"Brandy, in bottles of a strength not exceeding 46% vol.","  124,563 ","  7,333 ",affected
,62052000,8,"Men’s or boys’ shirts, not knitted or crocheted, of cotton.","  118,634 ","  3,748 ",affected
,73110000,6,"Containers for compressed or liquefied gas, of iron or steel.","  116,547 ","  187,838 ",affected
,84799000,7,"Parts for machines and mechanical appliances having individual functions, not elsewhere specified or included.","  113,863 ","  1,962 ",affected
,90281000,8,"Gas supply or production meters, including calibrating meters therefor.","  112,935 ",  34 ,affected
,22084090,1,"Rum and other spirits obtained by distilling fermented sugarcane products, other than in bottles of a strength not exceeding 46% vol.","  112,120 ","  11,762 ",affected
,71179000,8,Imitation jewellery of non-precious materials (other than base metal).,"  111,869 ","  2,279 ",affected
,39269090,8,"Other articles of plastics, not elsewhere specified or included.","  111,313 ","  19,952 ",affected
,84609000,7,"Machine-tools for deburring, polishing or otherwise finishing metal or cermets by means of grinding stones, abrasives or polishing products, not elsewhere specified or included.","  109,708 ",  864 ,affected
,32081030,5,"Enamels based on polyesters, dispersed or dissolved in a non-aqueous medium.","  108,045 ","  28,660 ",affected
,65050090,8,"Hats and other headgear, knitted or crocheted, or made up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed.","  106,040 ","  5,799 ",affected
,03034900,0,"Tunas, other than albacore or long-finned tunas, yellowfin tunas, bigeye tunas, bluefin tunas or southern bluefin tunas, frozen.","  105,506 ","  8,770 ",affected
,22086000,1,Vodka.,"  102,272 ","  19,337 ",affected
,62063010,8,"Women’s or girls’ blouses and shirt-blouses, not knitted or crocheted, of cotton.","  102,214 ","  8,158 ",affected
,22042100,1,"Wine (other than sparkling wine), in containers holding 2 litres or less.","  100,418 ","  9,912 ",affected
,88032000,7,"Under-carriages and parts thereof, of goods of heading 88.01or 88.02 (SITC 792 excluding 792.83).","  100,390 ","  1,291 ",affected
,71161000,8,Articles of natural or cultured pearls.,"  97,297 ",  380 ,affected
,61102000,8,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted, of cotton.","  96,437 ","  2,927 ",affected
,03048700,0,"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis) fillets (whether or not minced), frozen","  94,562 ","  12,895 ",affected
,61051000,8,"Men’s or boys’ shirts, knitted or crocheted, of cotton.","  94,300 ","  1,633 ",affected
,90318000,8,"Other measuring or checking instruments, appliances and machines not elsewhere specified or included.","  91,811 ","  3,281 ",affected
,03034290,0,"Yellowfin tunas (thunnus albacares), other than for processing, frozen.","  91,697 ","  16,602 ",affected
,89039200,7,"Motorboats, other than outboard motors boats, not inflatable.","  90,563 ","  2,433 ",affected
,69120090,6,"Other ceramic household articles and toilet articles, other than of porcelain or china.","  88,398 ","  7,180 ",affected
,85198900,7,"Other sound recording or reproducing apparatus, not using magnetic, optical or semiconductor media.","  83,019 ",  267 ,affected
,84254290,7,Other hydraulic jacks and hoists used for raising vehicles.,"  82,312 ",  811 ,affected
,85256000,7,"Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus.","  82,291 ",  219 ,affected
,84812000,7,Valves for oleohydraulic or pneumatic transmissions.,"  81,847 ",  180 ,affected
,21039090,0,Other sauces and preparations therefor; other mixed condiments and mixed seasonings.,"  81,572 ","  36,615 ",affected
,62034220,8,Men's or boys’ trousers and shorts of cotton other than denim,"  81,295 ","  3,181 ",affected
,73143900,6,"Other grill, netting and fencing, of iron or steel wire, welded at the intersection (other than those plated or coated with zinc).","  80,501 ","  60,545 ",affected
,85441190,7,"Winding wire (other than enamelled or plastic insulated winding wire), of copper.","  80,501 ","  24,999 ",affected
,65069900,8,"Other headgear, not elsewhere specified or included, of materials other than rubber or of plastics, whether or not lined or trimmed.","  77,733 ","  1,577 ",affected
,90269000,8,"Parts and accessories for instruments and apparatus for measuring or checking the flow, level, pressure or other variables of liquids or gases (for example, flow meters, level gauges, manometers, heat meters), excluding instruments and apparatus of headin","  75,018 ",  201 ,affected
,03044990,0,"Fillets of other fish,(whether or not minced),  fresh or chilled","  74,582 ","  10,473 ",affected
,42022900,8,"Other handbags, whether or not with shoulder strap, including those without handle, not elsewhere specified or included, including those made of vulcanised fibre or of paperboard, or wholly or maily covered with such materials or with paper.","  72,751 ","  4,340 ",affected
,84081000,7,"Compression-ignition internal combustion piston engines (diesel or semi-diesel engines), for marine propulsion.","  72,451 ","  7,813 ",affected
