,,,,Grenada Affected Exports to the USA (Top 100),,,
,,,,,,,
,,,,,,,
,HS,SITC,Country,DESCRIPTION,   Exports to USA (USD)   ,   Quantity   ,Affected
,85044000,7,GD,Static converters (for example rectifiers).,"  4,988 ",  106 ,affected
,89071000,7,GD,Inflatable rafts.,"  4,953 ",  50 ,affected
,85442000,7,GD,Insulated co-axial cable and other co-axial electric conductors.,"  4,772 ",  2 ,affected
,90303300,8,GD,"Other instruments and apparatus for measuring or checking voltage, current, resistance or power, without a recording device.","  4,730 ",  34 ,affected
,73072200,6,GD,"Threaded elbows, bends and sleeves, of stainless steel.","  4,589 ",  158 ,affected
,88021100,7,GD,"Helicopters of an unladen weight not exceeding 2,000 kg.","  4,531 ",  5 ,affected
,85176900,7,GD,"Other apparatus for transmission or reception of voice, images or other data, not elsewhere specified or included.","  4,519 ",  33 ,affected
,72041000,2,GD,Waste and scrap of cast iron.,"  4,304 ","  40,070 ",affected
,82076000,6,GD,Tools for boring or broaching.,"  4,025 ",  31 ,affected
,07109090,0,GD,"Mixtures of vegetables, not for use in industry (uncooked or cooked by steaming or boiling in water), frozen.","  3,574 ","  1,257 ",affected
,84849000,7,GD,"Sets or assortments of gaskets and similar joints, dissimilar in composition, put up in pouches, envelopes or similar packings.","  3,501 ",  14 ,affected
,76130000,6,GD,Aluminium containers for compressed or liquefied gas.,"  3,381 ",  47 ,affected
,90079200,8,GD,Parts and accessories for cinematographic projectors.,"  3,170 ",  17 ,affected
,84831090,7,GD,"Transmission shafts (including cam shafts and crank shafts) and cranks, other than for road motor vehicle engines, marine engines or aircrafts engines.","  3,019 ",  46 ,affected
,90261000,8,GD,Instruments and apparatus for measuring or checking the flow or level of liquids.,"  3,019 ",  31 ,affected
,90268000,8,GD,"Other instruments or apparatus for measuring or checking the flow, level or other variables of liquids or gases, excluding instruments and apparatus of heading 90.14, 90.15, 90.28 or 90.32 (SITC 873.1, 874.1 and 874.6).","  3,019 ",  5 ,affected
,84419000,7,GD,"Parts of other machinery for making up paper pulp, paper or paperboard.","  2,963 ","  1,090 ",affected
,55122900,6,GD,"Woven fabrics of synthetic staple fibres, containing 85% or more by weight of acrylic or modacrylic staple fibres, other than unbleached or bleached.","  2,854 ",  21 ,affected
,62111200,8,GD,"Women’s or girls’ swimwear, not knitted or crocheted.","  2,824 ",  25 ,affected
,84879000,7,GD,"Other machinery parts, not containing electrical connectors, insulators, coils, contacts or other electrical features, not elsewhere specified or included.","  2,516 ",  36 ,affected
,85437090,7,GD,"Other electrical machines and apparatus, having individual functions, not elsewhere specified or included.","  2,516 ",  28 ,affected
,84714100,7,GD,"Other automatic data processing machines, comprising in the same housing at least a central processing unit and an input and output unit, whether or not combined.","  2,435 ",  13 ,affected
,84238200,7,GD,"Other weighing machinery, having a maximum weighing capacity exceeding 30 kg but not exceeding 5,000 kg.","  2,340 ",  7 ,affected
